Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
25-10-2023,Artisan_Oven_Downtown,SKU0014,Cakes & Desserts,South,55,16,15,17.57,52.53,0,Rainy,0,48.34,Winter
24-10-2023,Sweet_Slice_Mall,SKU0014,Cakes & Desserts,West,48,28,35,30.6,52.53,0,Rainy,0,54.85,Winter
07-03-2023,Corner_Bakeshop,SKU0008,Pastries & Croissants,North,243,236,244,222.38,3.77,0,Sunny,0,3.6,Winter
28-09-2023,Corner_Bakeshop,SKU0013,Cakes & Desserts,North,37,7,8,7.0,36.84,0,Rainy,0,37.32,Summer
29-05-2023,Artisan_Oven_Downtown,SKU0012,Artisan Breads,East,105,125,103,140.85,5.39,0,Rainy,0,5.07,Winter
23-06-2023,Morning_Crust_Uptown,SKU0007,Pastries & Croissants,Central,70,90,93,88.24,2.36,0,Sunny,0,2.5,Autumn
10-10-2023,Sweet_Slice_Mall,SKU0016,Artisan Breads,East,295,79,91,67.94,3.04,0,Snowy,0,3.07,Winter
31-07-2023,Morning_Crust_Uptown,SKU0005,Hot & Cold Beverages,Central,254,274,344,277.87,2.16,0,Snowy,0,2.04,Spring
19-12-2023,Morning_Crust_Uptown,SKU0016,Artisan Breads,Central,122,142,169,150.1,3.04,0,Rainy,0,3.11,Spring
03-05-2023,Cafe_Branch_West,SKU0016,Artisan Breads,Central,55,52,52,48.38,3.04,10,Cloudy,0,2.81,Autumn
01-10-2023,Corner_Bakeshop,SKU0007,Pastries & Croissants,North,252,231,260,237.5,2.36,0,Sunny,0,2.26,Autumn
22-08-2023,Artisan_Oven_Downtown,SKU0016,Artisan Breads,West,141,62,57,65.93,3.04,0,Snowy,0,2.93,Summer
15-06-2023,Cafe_Branch_West,SKU0010,Pastries & Croissants,North,123,99,109,93.28,4.4,0,Snowy,0,4.2,Winter
31-05-2023,Cafe_Branch_West,SKU0007,Pastries & Croissants,East,361,88,113,87.65,2.36,0,Snowy,0,2.37,Spring
09-09-2023,Corner_Bakeshop,SKU0006,Pastries & Croissants,East,399,182,217,206.84,3.86,0,Snowy,0,3.89,Summer
27-09-2023,Cafe_Branch_West,SKU0018,Savoury Pies & Quiches,East,138,116,107,119.76,10.03,0,Rainy,0,10.28,Autumn
25-11-2023,Morning_Crust_Uptown,SKU0003,Savoury Pies & Quiches,West,144,20,23,21.65,4.63,10,Rainy,0,4.33,Spring
11-04-2023,Artisan_Oven_Downtown,SKU0002,Cakes & Desserts,South,51,11,11,9.85,64.5,0,Snowy,0,65.41,Autumn
25-02-2023,Sweet_Slice_Mall,SKU0014,Cakes & Desserts,East,16,24,29,25.73,52.53,5,Sunny,0,55.71,Summer
12-12-2023,Sweet_Slice_Mall,SKU0002,Cakes & Desserts,South,59,32,40,29.12,64.5,0,Rainy,0,62.24,Winter
15-11-2023,Artisan_Oven_Downtown,SKU0014,Cakes & Desserts,South,28,33,34,32.03,52.53,0,Cloudy,0,52.34,Autumn
04-07-2023,Morning_Crust_Uptown,SKU0018,Savoury Pies & Quiches,South,107,92,74,79.1,10.03,0,Snowy,0,9.45,Spring
18-01-2023,Corner_Bakeshop,SKU0009,Savoury Pies & Quiches,North,155,21,24,19.47,7.26,0,Snowy,0,6.85,Autumn
12-01-2023,Sweet_Slice_Mall,SKU0002,Cakes & Desserts,North,42,34,39,30.35,64.5,15,Cloudy,0,68.62,Summer
15-07-2023,Sweet_Slice_Mall,SKU0013,Cakes & Desserts,East,22,24,27,24.14,36.84,0,Rainy,0,38.28,Spring
08-02-2023,Sweet_Slice_Mall,SKU0010,Pastries & Croissants,West,376,321,376,332.05,4.4,20,Snowy,1,4.7,Spring
09-12-2023,Morning_Crust_Uptown,SKU0015,Artisan Breads,North,92,112,110,99.29,6.66,0,Rainy,0,7.04,Autumn
19-02-2023,Corner_Bakeshop,SKU0009,Savoury Pies & Quiches,South,176,81,84,77.12,7.26,5,Snowy,1,7.76,Autumn
06-10-2023,Corner_Bakeshop,SKU0003,Savoury Pies & Quiches,Central,130,83,77,77.31,4.63,0,Rainy,0,4.5,Autumn
10-05-2023,Sweet_Slice_Mall,SKU0002,Cakes & Desserts,West,40,28,34,26.72,64.5,0,Snowy,1,63.46,Winter
27-01-2023,Corner_Bakeshop,SKU0004,Cakes & Desserts,Central,51,29,31,28.87,34.45,25,Cloudy,0,32.07,Autumn
16-01-2023,Corner_Bakeshop,SKU0017,Cakes & Desserts,South,15,20,16,19.27,53.93,0,Snowy,0,53.63,Winter
05-05-2023,Morning_Crust_Uptown,SKU0002,Cakes & Desserts,West,51,35,28,39.87,64.5,20,Cloudy,0,68.02,Summer
30-04-2023,Morning_Crust_Uptown,SKU0004,Cakes & Desserts,Central,25,34,32,29.84,34.45,5,Snowy,0,32.89,Autumn
21-12-2023,Artisan_Oven_Downtown,SKU0011,Pastries & Croissants,South,286,39,35,34.34,6.5,0,Sunny,0,6.15,Summer
09-03-2023,Corner_Bakeshop,SKU0015,Artisan Breads,South,148,161,159,140.16,6.66,0,Cloudy,0,6.59,Summer
03-04-2023,Corner_Bakeshop,SKU0010,Pastries & Croissants,East,289,83,85,88.51,4.4,15,Rainy,0,4.09,Spring
30-03-2023,Sweet_Slice_Mall,SKU0010,Pastries & Croissants,South,310,167,212,169.2,4.4,0,Cloudy,0,4.38,Spring
23-01-2023,Corner_Bakeshop,SKU0006,Pastries & Croissants,East,184,204,199,180.57,3.86,0,Snowy,0,4.16,Spring
05-04-2023,Corner_Bakeshop,SKU0013,Cakes & Desserts,South,17,12,14,10.8,36.84,0,Cloudy,0,34.98,Spring
