Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
26-06-2023,Digital_Mall,SKU0014,Accessories & Cables,West,363,68,67,63.84,49.57,0,Rainy,0,51.21,Autumn
18-02-2023,Express_Cyber,SKU0014,Accessories & Cables,West,169,121,124,112.39,49.57,5,Rainy,1,48.49,Summer
03-02-2023,Tech_Hub_Central,SKU0002,Gaming & Consoles,North,23,14,13,16.05,481.12,25,Snowy,0,468.15,Autumn
09-02-2023,Tech_Hub_Central,SKU0002,Gaming & Consoles,South,59,4,4,4.57,481.12,0,Cloudy,0,491.19,Spring
27-10-2023,Gizmo_Avenue,SKU0007,Smartphones,North,20,5,5,4.55,357.52,5,Rainy,1,352.29,Spring
18-04-2023,Smart_Center,SKU0016,Smartphones,South,47,20,25,20.66,848.33,0,Rainy,0,891.5,Autumn
17-11-2023,Smart_Center,SKU0019,Wearables & Smartwatches,North,24,31,30,26.56,415.6,0,Sunny,0,383.99,Winter
08-11-2023,Tech_Hub_Central,SKU0007,Smartphones,West,31,3,3,3.08,357.52,10,Cloudy,0,384.41,Autumn
03-08-2023,Smart_Center,SKU0007,Smartphones,West,10,8,9,8.07,357.52,0,Snowy,0,380.08,Winter
03-06-2023,Digital_Mall,SKU0007,Smartphones,West,12,20,21,20.76,357.52,0,Rainy,0,365.58,Winter
05-03-2023,Smart_Center,SKU0009,Audio & Headphones,North,153,24,27,22.98,295.49,0,Rainy,0,295.69,Autumn
21-04-2023,Tech_Hub_Central,SKU0009,Audio & Headphones,East,71,64,80,55.12,295.49,15,Rainy,1,288.11,Winter
29-07-2023,Gizmo_Avenue,SKU0015,Audio & Headphones,South,128,55,48,61.3,315.39,0,Cloudy,0,314.72,Spring
12-05-2023,Gizmo_Avenue,SKU0006,Gaming & Consoles,South,59,11,9,11.66,311.36,20,Cloudy,0,310.68,Autumn
13-05-2023,Smart_Center,SKU0014,Accessories & Cables,West,154,81,67,86.95,49.57,20,Sunny,0,50.71,Spring
18-08-2023,Express_Cyber,SKU0007,Smartphones,South,35,8,6,8.62,357.52,0,Sunny,0,337.21,Winter
12-11-2023,Tech_Hub_Central,SKU0012,Laptops & Computers,North,34,14,16,12.86,2279.32,10,Snowy,0,2097.67,Spring
07-03-2023,Express_Cyber,SKU0020,Gaming & Consoles,South,51,3,3,3.0,363.42,0,Sunny,0,375.29,Autumn
07-03-2023,Gizmo_Avenue,SKU0018,Laptops & Computers,North,29,14,11,13.54,2003.0,0,Sunny,0,1897.9,Summer
24-06-2023,Express_Cyber,SKU0005,Gaming & Consoles,Central,57,6,7,6.23,243.65,5,Sunny,0,251.0,Winter
12-03-2023,Express_Cyber,SKU0015,Audio & Headphones,South,136,32,34,33.23,315.39,0,Rainy,0,329.26,Autumn
12-05-2023,Tech_Hub_Central,SKU0017,Audio & Headphones,West,163,13,12,12.82,282.46,0,Rainy,0,301.51,Spring
02-08-2023,Tech_Hub_Central,SKU0017,Audio & Headphones,East,33,19,21,18.53,282.46,0,Snowy,0,290.88,Summer
13-03-2023,Tech_Hub_Central,SKU0002,Gaming & Consoles,Central,52,4,4,3.58,481.12,0,Cloudy,0,450.87,Winter
21-06-2023,Gizmo_Avenue,SKU0010,Gaming & Consoles,South,41,18,22,15.63,593.38,15,Rainy,0,630.76,Autumn
01-08-2023,Digital_Mall,SKU0010,Gaming & Consoles,East,51,25,20,26.36,593.38,5,Snowy,0,578.59,Summer
05-03-2023,Digital_Mall,SKU0005,Gaming & Consoles,West,32,13,16,12.28,243.65,15,Sunny,1,257.5,Spring
29-03-2023,Smart_Center,SKU0015,Audio & Headphones,East,64,14,15,15.44,315.39,15,Rainy,1,305.41,Winter
10-01-2023,Express_Cyber,SKU0018,Laptops & Computers,South,10,6,7,5.54,2003.0,0,Rainy,0,2081.41,Spring
17-11-2023,Digital_Mall,SKU0001,Audio & Headphones,West,109,30,37,29.63,336.13,0,Sunny,0,314.67,Spring
15-09-2023,Tech_Hub_Central,SKU0006,Gaming & Consoles,West,45,4,4,4.35,311.36,0,Snowy,0,297.22,Spring
13-03-2023,Tech_Hub_Central,SKU0011,Gaming & Consoles,North,69,24,28,24.45,254.05,25,Sunny,0,268.44,Autumn
11-11-2023,Digital_Mall,SKU0001,Audio & Headphones,North,96,44,49,46.05,336.13,0,Sunny,1,343.08,Spring
03-07-2023,Express_Cyber,SKU0009,Audio & Headphones,South,29,18,18,19.59,295.49,0,Cloudy,0,318.61,Spring
16-05-2023,Express_Cyber,SKU0002,Gaming & Consoles,South,14,23,22,22.97,481.12,0,Sunny,0,451.37,Spring
19-12-2023,Tech_Hub_Central,SKU0006,Gaming & Consoles,Central,11,4,5,3.74,311.36,25,Cloudy,0,319.85,Spring
02-02-2023,Digital_Mall,SKU0009,Audio & Headphones,Central,27,47,39,44.92,295.49,0,Cloudy,0,291.86,Autumn
01-07-2023,Gizmo_Avenue,SKU0006,Gaming & Consoles,Central,15,8,6,7.74,311.36,0,Cloudy,0,328.46,Summer
04-01-2023,Express_Cyber,SKU0011,Gaming & Consoles,East,21,20,19,20.56,254.05,15,Snowy,0,264.67,Autumn
05-09-2023,Tech_Hub_Central,SKU0005,Gaming & Consoles,East,42,17,20,16.44,243.65,5,Rainy,0,227.9,Winter
19-07-2023,Smart_Center,SKU0003,Wearables & Smartwatches,Central,29,34,36,31.28,446.39,20,Cloudy,0,466.65,Autumn
05-07-2023,Smart_Center,SKU0001,Audio & Headphones,East,164,25,20,23.57,336.13,0,Cloudy,0,345.34,Spring
06-10-2023,Express_Cyber,SKU0015,Audio & Headphones,West,102,17,16,17.51,315.39,25,Rainy,0,290.63,Winter
30-03-2023,Tech_Hub_Central,SKU0002,Gaming & Consoles,West,43,21,21,19.78,481.12,25,Cloudy,0,451.19,Winter
09-06-2023,Smart_Center,SKU0009,Audio & Headphones,Central,95,20,25,22.46,295.49,20,Snowy,1,304.23,Summer
07-01-2023,Gizmo_Avenue,SKU0008,Smartphones,North,8,12,13,12.03,723.37,20,Rainy,0,719.09,Summer
22-10-2023,Tech_Hub_Central,SKU0017,Audio & Headphones,Central,113,25,26,21.78,282.46,0,Rainy,0,260.35,Autumn
19-03-2023,Tech_Hub_Central,SKU0009,Audio & Headphones,Central,112,26,23,26.63,295.49,0,Cloudy,0,288.34,Summer
09-12-2023,Express_Cyber,SKU0016,Smartphones,North,23,25,25,28.1,848.33,15,Cloudy,1,872.84,Winter
10-04-2023,Express_Cyber,SKU0020,Gaming & Consoles,North,20,21,26,20.13,363.42,0,Sunny,0,360.59,Spring
27-11-2023,Gizmo_Avenue,SKU0005,Gaming & Consoles,West,53,19,20,16.95,243.65,0,Sunny,0,230.55,Winter
27-12-2023,Digital_Mall,SKU0002,Gaming & Consoles,Central,61,10,10,9.09,481.12,0,Cloudy,0,483.54,Autumn
