Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
12-05-2023,Plaza_Fashion,SKU0019,Menswear,East,25,17,19,17.71,106.03,15,Sunny,0,100.43,Spring
15-04-2023,Boutique_West,SKU0006,Womenswear,North,83,45,37,51.67,84.13,0,Sunny,0,81.14,Winter
11-02-2023,Outlet_Mall,SKU0015,Footwear,North,15,14,11,15.89,133.34,0,Snowy,0,140.34,Spring
17-08-2023,Flagship_City,SKU0014,Activewear,South,64,43,50,42.49,39.98,0,Rainy,0,42.49,Winter
03-10-2023,Boutique_West,SKU0020,Menswear,North,54,29,26,28.91,146.16,0,Sunny,0,149.5,Winter
14-08-2023,Outlet_Mall,SKU0020,Menswear,Central,42,14,13,12.74,146.16,0,Snowy,0,152.91,Winter
09-11-2023,Outlet_Mall,SKU0001,Accessories,East,51,63,78,63.96,66.32,10,Cloudy,1,61.47,Winter
16-06-2023,Galleria_North,SKU0004,Winterwear & Jackets,South,44,17,20,18.56,282.65,10,Snowy,0,271.11,Winter
04-09-2023,Plaza_Fashion,SKU0006,Womenswear,South,40,13,11,11.72,84.13,20,Sunny,0,86.63,Spring
02-07-2023,Boutique_West,SKU0015,Footwear,West,78,10,11,11.4,133.34,0,Rainy,0,137.7,Winter
30-11-2023,Galleria_North,SKU0009,Womenswear,South,91,25,22,25.8,100.09,5,Rainy,0,100.37,Winter
08-05-2023,Plaza_Fashion,SKU0014,Activewear,East,98,37,37,35.25,39.98,0,Snowy,0,40.7,Winter
26-07-2023,Galleria_North,SKU0001,Accessories,Central,129,65,64,59.69,66.32,0,Cloudy,0,71.38,Winter
18-09-2023,Plaza_Fashion,SKU0017,Activewear,South,128,16,12,17.21,61.3,0,Cloudy,0,64.51,Autumn
20-04-2023,Plaza_Fashion,SKU0009,Womenswear,North,102,9,8,8.66,100.09,0,Rainy,0,99.02,Winter
25-12-2023,Flagship_City,SKU0008,Winterwear & Jackets,South,63,16,15,16.94,104.5,0,Rainy,0,111.7,Spring
27-10-2023,Boutique_West,SKU0020,Menswear,West,23,33,27,36.77,146.16,25,Cloudy,0,134.52,Winter
06-09-2023,Galleria_North,SKU0017,Activewear,South,107,21,19,22.56,61.3,10,Rainy,0,58.13,Spring
16-10-2023,Boutique_West,SKU0006,Womenswear,South,73,33,42,33.83,84.13,0,Rainy,0,86.15,Winter
18-04-2023,Plaza_Fashion,SKU0005,Accessories,Central,159,11,11,9.94,28.36,0,Cloudy,0,27.74,Summer
03-12-2023,Outlet_Mall,SKU0001,Accessories,West,103,62,52,63.89,66.32,0,Snowy,0,62.21,Winter
28-08-2023,Flagship_City,SKU0006,Womenswear,Central,65,40,50,41.55,84.13,20,Sunny,1,87.54,Summer
25-02-2023,Galleria_North,SKU0017,Activewear,South,112,36,32,35.11,61.3,0,Rainy,0,61.43,Winter
25-09-2023,Galleria_North,SKU0008,Winterwear & Jackets,South,10,21,19,22.57,104.5,0,Cloudy,0,98.61,Winter
21-07-2023,Galleria_North,SKU0020,Menswear,West,56,31,32,29.42,146.16,20,Cloudy,0,143.57,Autumn
24-10-2023,Boutique_West,SKU0018,Accessories,East,42,10,12,8.86,25.3,0,Snowy,0,25.44,Summer
30-03-2023,Galleria_North,SKU0018,Accessories,East,43,63,60,58.15,25.3,0,Cloudy,0,24.56,Winter
27-08-2023,Outlet_Mall,SKU0017,Activewear,South,64,29,26,30.81,61.3,0,Rainy,0,56.41,Spring
19-11-2023,Flagship_City,SKU0008,Winterwear & Jackets,Central,17,22,19,24.84,104.5,0,Snowy,0,102.59,Autumn
17-03-2023,Flagship_City,SKU0017,Activewear,Central,60,15,18,16.94,61.3,0,Cloudy,0,63.71,Autumn
18-07-2023,Galleria_North,SKU0004,Winterwear & Jackets,South,64,23,23,21.25,282.65,0,Snowy,0,271.31,Autumn
14-05-2023,Flagship_City,SKU0001,Accessories,Central,92,27,32,28.19,66.32,10,Snowy,1,64.06,Winter
09-03-2023,Flagship_City,SKU0013,Footwear,Central,19,29,30,27.75,87.49,0,Snowy,0,87.46,Spring
21-11-2023,Galleria_North,SKU0016,Accessories,East,41,15,15,15.55,24.16,20,Sunny,0,24.87,Winter
30-07-2023,Plaza_Fashion,SKU0006,Womenswear,West,101,38,43,34.51,84.13,0,Rainy,0,83.21,Winter
06-10-2023,Galleria_North,SKU0011,Womenswear,West,29,9,11,8.53,40.76,0,Rainy,0,41.24,Spring
21-07-2023,Flagship_City,SKU0007,Accessories,North,182,36,36,34.81,17.37,20,Snowy,0,16.25,Summer
18-01-2023,Plaza_Fashion,SKU0008,Winterwear & Jackets,North,55,11,9,9.65,104.5,0,Rainy,0,109.73,Winter
09-10-2023,Boutique_West,SKU0007,Accessories,Central,121,40,51,41.86,17.37,0,Rainy,0,18.29,Summer
26-11-2023,Outlet_Mall,SKU0008,Winterwear & Jackets,South,26,25,20,26.75,104.5,0,Sunny,0,101.0,Summer
20-10-2023,Flagship_City,SKU0019,Menswear,East,80,8,8,6.93,106.03,0,Sunny,0,107.83,Spring
12-08-2023,Galleria_North,SKU0008,Winterwear & Jackets,East,71,19,18,21.28,104.5,20,Snowy,0,103.33,Winter
20-02-2023,Flagship_City,SKU0003,Womenswear,East,23,38,40,36.32,20.78,0,Sunny,0,20.98,Autumn
23-06-2023,Outlet_Mall,SKU0011,Womenswear,Central,108,10,8,9.02,40.76,0,Sunny,0,38.75,Summer
05-06-2023,Boutique_West,SKU0019,Menswear,Central,80,35,40,32.11,106.03,0,Sunny,0,101.06,Winter
01-09-2023,Boutique_West,SKU0006,Womenswear,Central,105,29,23,26.8,84.13,0,Cloudy,0,79.67,Spring
13-12-2023,Outlet_Mall,SKU0017,Activewear,Central,39,27,23,26.83,61.3,15,Cloudy,0,60.0,Spring
12-09-2023,Outlet_Mall,SKU0018,Accessories,Central,101,56,54,56.26,25.3,20,Sunny,1,23.68,Spring
17-04-2023,Boutique_West,SKU0018,Accessories,South,154,35,36,36.2,25.3,0,Snowy,0,26.82,Spring
10-06-2023,Plaza_Fashion,SKU0010,Activewear,West,67,28,24,29.3,109.88,0,Sunny,0,107.48,Winter
16-01-2023,Galleria_North,SKU0020,Menswear,Central,87,24,20,24.31,146.16,0,Sunny,0,151.55,Spring
23-03-2023,Boutique_West,SKU0014,Activewear,East,99,8,9,7.97,39.98,0,Cloudy,0,42.89,Autumn
05-01-2023,Flagship_City,SKU0016,Accessories,South,133,57,62,52.6,24.16,0,Snowy,0,24.77,Summer
05-03-2023,Outlet_Mall,SKU0008,Winterwear & Jackets,Central,63,6,6,6.88,104.5,0,Snowy,1,109.32,Autumn
06-04-2023,Flagship_City,SKU0020,Menswear,Central,86,20,18,19.12,146.16,0,Cloudy,1,144.84,Winter
07-06-2023,Plaza_Fashion,SKU0006,Womenswear,Central,45,10,8,9.83,84.13,10,Snowy,0,83.61,Summer
08-12-2023,Flagship_City,SKU0015,Footwear,West,12,32,39,30.2,133.34,0,Sunny,0,143.95,Winter
19-08-2023,Plaza_Fashion,SKU0007,Accessories,North,128,47,48,49.22,17.37,0,Cloudy,0,18.19,Summer
28-12-2023,Galleria_North,SKU0004,Winterwear & Jackets,Central,50,21,22,18.83,282.65,0,Cloudy,0,260.97,Winter
19-07-2023,Flagship_City,SKU0015,Footwear,East,30,16,13,15.29,133.34,0,Sunny,0,123.92,Autumn
13-07-2023,Outlet_Mall,SKU0013,Footwear,North,74,20,20,17.05,87.49,0,Rainy,0,93.87,Autumn
30-03-2023,Boutique_West,SKU0002,Activewear,East,52,54,53,47.12,60.95,5,Rainy,1,61.47,Winter
27-03-2023,Plaza_Fashion,SKU0016,Accessories,North,100,62,58,54.73,24.16,25,Sunny,0,23.5,Winter
06-01-2023,Flagship_City,SKU0013,Footwear,East,69,23,26,20.95,87.49,5,Rainy,0,88.29,Autumn
31-07-2023,Flagship_City,SKU0008,Winterwear & Jackets,South,46,3,3,3.23,104.5,0,Cloudy,0,109.12,Winter
13-04-2023,Flagship_City,SKU0014,Activewear,South,74,41,34,47.04,39.98,0,Snowy,0,42.24,Autumn
10-06-2023,Boutique_West,SKU0013,Footwear,South,32,22,19,19.92,87.49,0,Rainy,0,89.52,Autumn
07-08-2023,Galleria_North,SKU0001,Accessories,East,120,23,23,21.71,66.32,20,Rainy,0,70.91,Spring
15-04-2023,Plaza_Fashion,SKU0020,Menswear,North,37,52,52,46.43,146.16,0,Snowy,1,150.49,Winter
17-07-2023,Flagship_City,SKU0004,Winterwear & Jackets,East,55,10,10,8.73,282.65,0,Rainy,0,294.99,Autumn
18-06-2023,Outlet_Mall,SKU0002,Activewear,North,124,45,44,46.19,60.95,10,Cloudy,0,57.87,Autumn
28-12-2023,Plaza_Fashion,SKU0020,Menswear,West,84,21,26,22.28,146.16,20,Rainy,1,157.35,Winter
22-09-2023,Galleria_North,SKU0016,Accessories,North,76,70,62,80.19,24.16,0,Sunny,0,24.93,Summer
05-12-2023,Boutique_West,SKU0012,Footwear,South,33,13,14,12.82,133.91,0,Cloudy,0,142.71,Winter
31-08-2023,Plaza_Fashion,SKU0008,Winterwear & Jackets,East,23,18,17,16.78,104.5,0,Snowy,0,112.83,Summer
06-10-2023,Outlet_Mall,SKU0014,Activewear,East,93,28,31,26.27,39.98,0,Rainy,0,41.48,Autumn
02-07-2023,Galleria_North,SKU0008,Winterwear & Jackets,North,75,13,11,11.33,104.5,0,Cloudy,0,107.32,Winter
13-10-2023,Plaza_Fashion,SKU0006,Womenswear,West,70,30,27,31.95,84.13,20,Cloudy,0,82.06,Summer
27-12-2023,Boutique_West,SKU0011,Womenswear,Central,71,30,38,26.48,40.76,0,Cloudy,0,41.4,Autumn
08-12-2023,Outlet_Mall,SKU0018,Accessories,South,126,42,44,37.6,25.3,0,Sunny,0,24.99,Winter
22-11-2023,Flagship_City,SKU0010,Activewear,South,136,16,18,13.84,109.88,0,Sunny,0,104.97,Summer
09-01-2023,Outlet_Mall,SKU0004,Winterwear & Jackets,South,37,27,28,29.94,282.65,0,Rainy,0,271.34,Autumn
02-03-2023,Galleria_North,SKU0001,Accessories,East,170,69,57,66.39,66.32,0,Snowy,0,63.87,Winter
07-09-2023,Outlet_Mall,SKU0008,Winterwear & Jackets,East,53,20,18,19.77,104.5,0,Snowy,0,100.82,Spring
30-05-2023,Boutique_West,SKU0012,Footwear,East,75,39,43,33.85,133.91,0,Sunny,0,140.01,Winter
28-06-2023,Plaza_Fashion,SKU0007,Accessories,Central,39,28,24,28.76,17.37,0,Snowy,0,16.56,Autumn
09-06-2023,Boutique_West,SKU0011,Womenswear,East,31,18,14,16.58,40.76,0,Cloudy,0,37.67,Winter
09-05-2023,Galleria_North,SKU0003,Womenswear,Central,99,14,11,14.99,20.78,0,Snowy,0,21.54,Winter
