Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
11-05-2023,BuildPro_Depot_North,SKU0012,Building Materials,South,156,18,15,15.36,70.19,0,Cloudy,0,68.14,Spring
12-07-2023,BuildPro_Depot_North,SKU0008,Building Materials,East,131,62,73,61.08,94.43,0,Cloudy,0,88.38,Autumn
08-10-2023,FixIt_MegaStore,SKU0003,Paints & Finishes,East,144,25,24,23.28,36.91,0,Snowy,0,37.79,Summer
02-01-2023,Timber_Craft_East,SKU0012,Building Materials,Central,234,35,33,33.1,70.19,5,Sunny,0,70.58,Winter
08-01-2023,BuildPro_Depot_North,SKU0004,Paints & Finishes,North,54,6,7,6.73,59.05,0,Snowy,0,54.63,Summer
11-01-2023,Hardware_Hub_South,SKU0020,Electrical & Lighting,South,70,30,24,26.4,54.74,0,Cloudy,0,56.17,Autumn
24-09-2023,Craftsman_Plaza,SKU0005,Building Materials,West,142,21,19,23.06,86.34,5,Cloudy,0,88.71,Spring
04-07-2023,Timber_Craft_East,SKU0016,Paints & Finishes,West,46,15,15,15.48,21.64,0,Sunny,0,21.78,Winter
13-08-2023,Timber_Craft_East,SKU0020,Electrical & Lighting,Central,190,31,37,35.3,54.74,0,Rainy,0,56.14,Autumn
24-03-2023,FixIt_MegaStore,SKU0012,Building Materials,North,91,13,13,13.03,70.19,0,Rainy,0,65.96,Autumn
25-07-2023,BuildPro_Depot_North,SKU0011,Electrical & Lighting,West,209,29,23,26.8,47.44,15,Rainy,0,49.25,Autumn
10-02-2023,BuildPro_Depot_North,SKU0004,Paints & Finishes,Central,117,43,44,42.3,59.05,0,Sunny,0,59.88,Summer
07-06-2023,Hardware_Hub_South,SKU0003,Paints & Finishes,Central,122,42,51,43.8,36.91,0,Snowy,0,37.44,Summer
26-03-2023,Timber_Craft_East,SKU0004,Paints & Finishes,North,107,41,49,35.51,59.05,0,Cloudy,0,62.84,Spring
08-02-2023,Craftsman_Plaza,SKU0020,Electrical & Lighting,West,213,41,41,41.2,54.74,0,Sunny,0,50.52,Summer
02-05-2023,Craftsman_Plaza,SKU0003,Paints & Finishes,North,144,45,41,48.14,36.91,0,Rainy,0,37.21,Summer
05-09-2023,Hardware_Hub_South,SKU0006,Hand Tools,Central,152,24,26,24.92,76.13,20,Rainy,0,75.48,Summer
24-04-2023,Timber_Craft_East,SKU0003,Paints & Finishes,Central,102,39,41,42.7,36.91,0,Cloudy,0,36.7,Summer
08-02-2023,FixIt_MegaStore,SKU0004,Paints & Finishes,West,46,36,29,40.94,59.05,0,Snowy,0,59.23,Summer
