Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
29-12-2023,Care_Clinics,SKU0004,Prescription Medicines,South,59,17,17,15.71,82.12,0,Rainy,0,76.09,Autumn
01-06-2023,Wellness_Avenue,SKU0013,Prescription Medicines,East,170,44,42,45.12,21.03,25,Rainy,0,19.89,Autumn
03-05-2023,Health_Point_East,SKU0017,OTC Medicines,South,113,48,61,42.37,16.42,0,Rainy,0,15.28,Summer
07-05-2023,Health_Point_East,SKU0009,Vitamins & Supplements,North,122,79,69,75.08,39.75,0,Cloudy,0,40.24,Spring
08-10-2023,Wellness_Avenue,SKU0007,Prescription Medicines,West,218,42,53,43.49,17.61,0,Cloudy,0,18.52,Spring
15-09-2023,Care_Clinics,SKU0010,Vitamins & Supplements,South,106,65,63,68.34,33.48,0,Rainy,0,31.46,Autumn
14-09-2023,Wellness_Avenue,SKU0013,Prescription Medicines,South,215,79,92,79.21,21.03,0,Snowy,0,19.62,Spring
07-06-2023,Pharma_Central,SKU0008,OTC Medicines,North,165,32,30,33.53,23.26,0,Cloudy,0,24.49,Autumn
31-12-2023,Medi_Express,SKU0006,Prescription Medicines,West,99,52,65,52.8,49.84,0,Sunny,0,51.69,Spring
18-09-2023,Wellness_Avenue,SKU0001,OTC Medicines,North,99,102,105,103.24,10.21,0,Snowy,0,9.6,Winter
22-06-2023,Wellness_Avenue,SKU0009,Vitamins & Supplements,North,180,64,72,70.07,39.75,15,Rainy,0,41.26,Winter
25-10-2023,Medi_Express,SKU0018,Vitamins & Supplements,North,149,46,44,49.02,43.13,0,Cloudy,0,42.21,Autumn
23-02-2023,Medi_Express,SKU0011,OTC Medicines,South,236,153,161,160.96,11.68,0,Snowy,0,12.26,Spring
27-11-2023,Health_Point_East,SKU0005,Prescription Medicines,Central,139,37,39,37.31,57.44,0,Sunny,0,58.91,Spring
02-05-2023,Wellness_Avenue,SKU0007,Prescription Medicines,North,199,56,49,51.5,17.61,25,Sunny,0,18.14,Summer
22-10-2023,Wellness_Avenue,SKU0005,Prescription Medicines,South,52,72,81,79.33,57.44,0,Cloudy,0,59.35,Winter
14-08-2023,Medi_Express,SKU0006,Prescription Medicines,Central,180,67,82,70.47,49.84,0,Cloudy,0,49.2,Spring
14-05-2023,Wellness_Avenue,SKU0001,OTC Medicines,Central,106,106,127,120.15,10.21,15,Sunny,0,10.88,Summer
12-09-2023,Wellness_Avenue,SKU0004,Prescription Medicines,West,210,27,28,28.57,82.12,0,Rainy,0,79.57,Winter
02-04-2023,Medi_Express,SKU0015,Vitamins & Supplements,East,37,57,66,60.84,40.31,5,Sunny,0,38.32,Autumn
18-06-2023,Pharma_Central,SKU0002,Vitamins & Supplements,East,66,65,65,69.46,40.12,0,Rainy,0,39.75,Autumn
23-06-2023,Wellness_Avenue,SKU0019,OTC Medicines,North,88,66,80,73.87,14.88,5,Sunny,0,15.19,Spring
12-01-2023,Pharma_Central,SKU0009,Vitamins & Supplements,South,70,61,73,68.57,39.75,0,Rainy,0,39.95,Winter
04-02-2023,Pharma_Central,SKU0005,Prescription Medicines,North,86,27,22,29.68,57.44,0,Snowy,0,55.34,Summer
12-06-2023,Medi_Express,SKU0005,Prescription Medicines,Central,200,100,112,87.84,57.44,0,Rainy,0,57.22,Summer
15-01-2023,Care_Clinics,SKU0004,Prescription Medicines,North,214,86,109,81.21,82.12,0,Snowy,0,80.1,Winter
18-12-2023,Wellness_Avenue,SKU0007,Prescription Medicines,East,77,70,73,77.07,17.61,0,Sunny,0,16.73,Winter
30-09-2023,Medi_Express,SKU0019,OTC Medicines,Central,259,112,114,117.99,14.88,5,Cloudy,1,15.42,Winter
15-02-2023,Pharma_Central,SKU0005,Prescription Medicines,East,173,110,102,119.79,57.44,0,Cloudy,0,53.92,Spring
17-12-2023,Health_Point_East,SKU0018,Vitamins & Supplements,South,45,21,25,23.25,43.13,0,Cloudy,0,46.29,Winter
20-07-2023,Health_Point_East,SKU0018,Vitamins & Supplements,East,53,58,50,51.3,43.13,0,Rainy,0,42.91,Autumn
01-06-2023,Wellness_Avenue,SKU0015,Vitamins & Supplements,North,159,13,16,12.24,40.31,0,Cloudy,0,40.07,Autumn
23-12-2023,Care_Clinics,SKU0007,Prescription Medicines,South,195,80,83,71.84,17.61,5,Sunny,0,16.49,Autumn
23-07-2023,Health_Point_East,SKU0012,Personal Care,North,272,116,127,128.18,14.39,0,Rainy,0,14.29,Spring
23-07-2023,Wellness_Avenue,SKU0004,Prescription Medicines,West,186,92,96,85.72,82.12,0,Sunny,0,85.53,Autumn
19-08-2023,Wellness_Avenue,SKU0015,Vitamins & Supplements,South,78,56,57,57.26,40.31,0,Cloudy,0,43.46,Winter
21-08-2023,Care_Clinics,SKU0007,Prescription Medicines,West,150,106,115,108.04,17.61,0,Rainy,0,16.55,Spring
04-12-2023,Wellness_Avenue,SKU0004,Prescription Medicines,Central,185,71,63,68.3,82.12,15,Snowy,1,85.97,Autumn
23-12-2023,Medi_Express,SKU0007,Prescription Medicines,Central,172,29,37,27.91,17.61,15,Cloudy,0,17.61,Autumn
06-05-2023,Health_Point_East,SKU0004,Prescription Medicines,Central,199,80,87,80.03,82.12,5,Sunny,0,79.01,Winter
05-03-2023,Pharma_Central,SKU0016,Medical Devices & First Aid,Central,75,20,25,20.94,90.25,0,Snowy,0,94.77,Spring
23-01-2023,Medi_Express,SKU0017,OTC Medicines,East,66,37,37,33.07,16.42,0,Snowy,0,15.17,Spring
02-01-2023,Pharma_Central,SKU0019,OTC Medicines,West,177,47,43,43.81,14.88,0,Rainy,0,14.06,Autumn
06-08-2023,Pharma_Central,SKU0011,OTC Medicines,West,391,78,80,85.86,11.68,15,Rainy,0,11.29,Autumn
24-12-2023,Wellness_Avenue,SKU0011,OTC Medicines,North,80,86,87,88.1,11.68,0,Rainy,0,11.65,Summer
19-12-2023,Pharma_Central,SKU0017,OTC Medicines,South,246,121,131,118.6,16.42,0,Rainy,0,16.27,Autumn
18-05-2023,Wellness_Avenue,SKU0007,Prescription Medicines,West,50,70,80,78.49,17.61,0,Sunny,0,18.71,Spring
09-02-2023,Care_Clinics,SKU0006,Prescription Medicines,North,40,35,44,36.07,49.84,0,Snowy,0,50.72,Autumn
06-07-2023,Health_Point_East,SKU0005,Prescription Medicines,West,188,107,105,94.91,57.44,5,Snowy,0,61.95,Spring
16-01-2023,Health_Point_East,SKU0004,Prescription Medicines,Central,192,65,62,64.6,82.12,0,Sunny,0,79.71,Winter
12-04-2023,Care_Clinics,SKU0016,Medical Devices & First Aid,West,76,11,14,11.29,90.25,0,Rainy,0,94.47,Spring
22-12-2023,Care_Clinics,SKU0020,Medical Devices & First Aid,North,69,28,23,27.11,149.5,0,Rainy,0,160.58,Spring
18-07-2023,Wellness_Avenue,SKU0003,OTC Medicines,Central,357,28,24,29.65,6.12,0,Sunny,0,6.44,Summer
17-04-2023,Health_Point_East,SKU0004,Prescription Medicines,East,172,95,78,94.48,82.12,0,Rainy,0,84.67,Autumn
20-09-2023,Wellness_Avenue,SKU0001,OTC Medicines,South,111,45,40,48.13,10.21,0,Sunny,0,9.79,Winter
09-06-2023,Care_Clinics,SKU0001,OTC Medicines,South,154,35,30,35.33,10.21,0,Rainy,0,9.67,Winter
20-05-2023,Medi_Express,SKU0002,Vitamins & Supplements,East,162,52,63,55.58,40.12,10,Sunny,0,40.53,Autumn
14-06-2023,Wellness_Avenue,SKU0015,Vitamins & Supplements,North,147,82,86,72.44,40.31,0,Sunny,1,37.59,Spring
17-10-2023,Medi_Express,SKU0009,Vitamins & Supplements,West,59,19,22,17.06,39.75,0,Sunny,0,37.29,Autumn
18-09-2023,Health_Point_East,SKU0015,Vitamins & Supplements,East,150,51,54,53.86,40.31,0,Cloudy,0,37.25,Autumn
07-05-2023,Health_Point_East,SKU0005,Prescription Medicines,East,102,90,112,95.29,57.44,0,Rainy,0,59.69,Spring
10-12-2023,Pharma_Central,SKU0015,Vitamins & Supplements,North,46,66,64,58.09,40.31,0,Sunny,0,40.33,Autumn
09-10-2023,Medi_Express,SKU0001,OTC Medicines,Central,362,120,108,105.67,10.21,0,Rainy,0,10.24,Winter
01-05-2023,Health_Point_East,SKU0002,Vitamins & Supplements,North,139,109,93,110.31,40.12,0,Snowy,1,39.7,Autumn
21-04-2023,Wellness_Avenue,SKU0013,Prescription Medicines,South,239,49,40,45.07,21.03,5,Snowy,1,22.28,Spring
09-03-2023,Medi_Express,SKU0018,Vitamins & Supplements,North,123,79,92,87.51,43.13,15,Rainy,0,46.41,Autumn
01-11-2023,Care_Clinics,SKU0016,Medical Devices & First Aid,East,71,9,8,9.01,90.25,0,Cloudy,0,86.04,Spring
10-10-2023,Pharma_Central,SKU0006,Prescription Medicines,East,139,91,91,98.43,49.84,0,Cloudy,0,51.58,Spring
17-02-2023,Health_Point_East,SKU0018,Vitamins & Supplements,East,179,55,64,52.42,43.13,0,Sunny,0,45.18,Summer
17-02-2023,Pharma_Central,SKU0012,Personal Care,North,176,30,29,29.23,14.39,0,Sunny,0,13.36,Spring
05-08-2023,Pharma_Central,SKU0007,Prescription Medicines,South,157,94,85,92.76,17.61,0,Sunny,0,17.0,Summer
09-08-2023,Health_Point_East,SKU0003,OTC Medicines,West,194,131,108,128.07,6.12,0,Cloudy,0,5.72,Summer
13-04-2023,Medi_Express,SKU0012,Personal Care,North,256,113,114,99.83,14.39,20,Snowy,0,13.85,Spring
16-06-2023,Care_Clinics,SKU0013,Prescription Medicines,North,99,102,129,102.88,21.03,0,Snowy,0,22.33,Autumn
03-11-2023,Care_Clinics,SKU0016,Medical Devices & First Aid,Central,24,16,15,16.4,90.25,0,Snowy,0,94.13,Winter
30-09-2023,Health_Point_East,SKU0018,Vitamins & Supplements,North,73,71,77,65.62,43.13,0,Sunny,0,42.64,Summer
02-03-2023,Medi_Express,SKU0002,Vitamins & Supplements,Central,180,21,25,22.06,40.12,0,Snowy,0,43.04,Winter
05-07-2023,Wellness_Avenue,SKU0012,Personal Care,Central,189,32,39,34.13,14.39,0,Cloudy,0,14.01,Spring
06-12-2023,Care_Clinics,SKU0010,Vitamins & Supplements,Central,138,52,52,56.37,33.48,0,Sunny,0,35.32,Autumn
06-09-2023,Wellness_Avenue,SKU0007,Prescription Medicines,South,216,108,94,112.4,17.61,10,Rainy,0,17.32,Spring
05-02-2023,Care_Clinics,SKU0011,OTC Medicines,West,202,83,104,77.04,11.68,0,Cloudy,0,11.78,Autumn
10-02-2023,Care_Clinics,SKU0012,Personal Care,North,196,109,95,93.32,14.39,25,Cloudy,0,15.23,Spring
20-10-2023,Medi_Express,SKU0003,OTC Medicines,Central,94,114,93,116.08,6.12,0,Snowy,0,5.81,Spring
29-03-2023,Wellness_Avenue,SKU0020,Medical Devices & First Aid,South,65,17,18,16.57,149.5,10,Cloudy,0,140.11,Spring
