Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
23-11-2023,Store_Downtown,SKU0011,Meat & Seafood,Central,33,53,56,55.75,31.25,0,Sunny,0,31.52,Summer
19-07-2023,Store_Uptown,SKU0013,Household Essentials,Central,56,48,58,46.91,22.84,0,Rainy,0,22.25,Winter
11-07-2023,Store_Suburbs,SKU0005,Frozen Foods,North,44,64,77,61.63,14.22,0,Cloudy,0,13.98,Winter
09-08-2023,Store_Downtown,SKU0005,Frozen Foods,North,185,29,26,28.2,14.22,0,Rainy,0,13.55,Autumn
03-12-2023,Store_Airport,SKU0002,Bakery & Snacks,South,294,210,268,186.05,8.64,15,Cloudy,1,9.3,Winter
29-01-2023,Store_Uptown,SKU0009,Frozen Foods,North,101,36,31,32.91,5.48,0,Cloudy,0,5.64,Spring
03-03-2023,Store_Uptown,SKU0004,Fresh Produce,South,361,71,79,60.76,5.02,0,Sunny,0,4.94,Summer
03-02-2023,Store_Suburbs,SKU0009,Frozen Foods,North,177,74,71,63.39,5.48,0,Sunny,1,5.42,Summer
10-01-2023,Store_Suburbs,SKU0014,Frozen Foods,West,152,80,97,76.42,12.04,15,Sunny,0,12.79,Summer
11-08-2023,Store_Airport,SKU0018,Meat & Seafood,North,146,52,65,56.43,22.47,0,Snowy,0,22.14,Spring
02-05-2023,Store_Metro,SKU0011,Meat & Seafood,Central,24,36,29,41.18,31.25,5,Cloudy,0,29.18,Spring
04-10-2023,Store_Suburbs,SKU0024,Beverages,South,266,200,228,179.12,4.14,0,Rainy,0,4.28,Winter
21-05-2023,Store_Suburbs,SKU0017,Beverages,East,361,42,41,42.53,5.36,0,Snowy,0,5.31,Autumn
13-02-2023,Store_Airport,SKU0013,Household Essentials,South,152,94,89,90.41,22.84,0,Snowy,0,24.46,Autumn
17-05-2023,Store_Metro,SKU0014,Frozen Foods,Central,203,32,33,28.27,12.04,0,Snowy,0,11.2,Autumn
26-07-2023,Store_Uptown,SKU0016,Bakery & Snacks,East,247,110,117,124.13,9.94,0,Sunny,0,10.69,Spring
19-08-2023,Store_Downtown,SKU0020,Dairy & Eggs,Central,62,82,78,76.75,3.21,0,Cloudy,0,3.0,Spring
19-09-2023,Store_Suburbs,SKU0019,Meat & Seafood,South,137,19,17,17.52,24.05,0,Snowy,0,22.57,Winter
28-06-2023,Store_Metro,SKU0002,Bakery & Snacks,East,51,42,51,38.91,8.64,15,Rainy,0,8.0,Summer
11-12-2023,Store_Suburbs,SKU0009,Frozen Foods,South,248,113,102,99.59,5.48,0,Sunny,0,5.23,Summer
30-05-2023,Store_Metro,SKU0021,Household Essentials,North,50,51,46,54.22,4.87,0,Cloudy,0,5.11,Spring
01-04-2023,Store_Uptown,SKU0001,Dairy & Eggs,Central,275,32,40,34.77,11.68,0,Cloudy,0,12.24,Spring
24-04-2023,Store_Suburbs,SKU0004,Fresh Produce,North,219,115,132,116.44,5.02,0,Rainy,0,4.97,Spring
